video_id,gt_VCL,pred_VCL,VCL_error,gt_VSL,pred_VSL,VSL_error,gt_VAP,pred_VAP,VAP_error
CA281189 (1),0.4134,0.4032734555812368,0.010126544418763206,0.4134,0.25001953048711995,0.16338046951288004,0.4134,0.17880673531154245,0.23459326468845754
CA281189 (1),1.1077,0.4356496837404734,0.6720503162595265,1.1077,0.13296479715289308,0.9747352028471068,1.1077,0.32452794315786576,0.7831720568421341
CA281189 (1),0.2264,0.17825758348846654,0.04814241651153345,0.2264,0.17685340464947563,0.04954659535052436,0.2264,0.0884818930505917,0.1379181069494083
CA281189 (1),0.5768,0.4104462693330015,0.1663537306669985,0.5768,0.07111654785910801,0.5056834521408919,0.5768,0.3193425528140954,0.2574574471859046
CA281189 (1),2.5667,0.5935493537112465,1.9731506462887536,2.5667,0.5933443881373007,1.9733556118626994,2.5667,0.2966810096901712,2.2700189903098287
CA281189 (1),0.4909,0.3772519790565962,0.11364802094340382,0.4909,0.10205971414238425,0.38884028585761576,0.4909,0.2199708534680396,0.27092914653196043
CC190907 (1),1.4423,1.3809708837003634,0.061329116299636555,1.4423,1.3720901185427936,0.0702098814572063,1.4423,1.3397346169908113,0.1025653830091886
CC190907 (1),2.1552,1.3636714079742387,0.7915285920257611,2.1552,1.363635708301757,0.7915642916982428,2.1552,0.6818198373406487,1.473380162659351
CC190907 (1),1.2931,1.26496338621469,0.02813661378530985,1.2931,1.2199794318343167,0.07312056816568324,1.2931,1.1680618901521873,0.1250381098478126
CC190907 (1),1.9121,1.8152657895247708,0.09683421047522911,1.9121,1.81526502588397,0.09683497411602993,1.9121,0.9076325453632648,1.0044674546367351
CC190907 (1),1.8565,1.7115546436267304,0.14494535637326966,1.4807,1.7030560772162928,0.2223560772162929,0.763,1.5384436207693535,0.7754436207693535
CC190907 (1),1.3416,1.3555292734957856,0.013929273495785655,1.3416,1.3555292734957856,0.013929273495785655,1.3416,1.3555292734957856,0.013929273495785655
CC190907 (1),1.9319,1.5803365359671988,0.35156346403280114,1.9319,1.5613231041364415,0.37057689586355846,1.9319,1.5637318898294772,0.36816811017052276
CC190907 (1),2.5505,2.3855499610932087,0.16495003890679127,2.5505,2.3750660621136723,0.17543393788632766,2.5505,1.203079192452166,1.347420807547834
CC190907 (1),2.449,2.3068694946607877,0.14213050533921212,2.449,2.3028524356279934,0.1461475643720065,2.449,2.1520209058048594,0.29697909419514046
CD260301 (1),2.9615,2.9334126641268705,0.028087335873129504,0.6256,2.829656780498051,2.204056780498051,0.9023,2.848661128109748,1.9463611281097482
CD260301 (1),1.5376,1.5070806986173566,0.03051930138264347,0.6286,1.507025447451693,0.878425447451693,0.3911,1.2258054484692846,0.8347054484692846
CD260301 (1),1.4244,1.416962776243957,0.007437223756043165,0.5356,1.3995154998423973,0.8639154998423973,0.6671,1.3706358437756305,0.7035358437756305
CD260301 (1),1.4501,1.4266917713995246,0.02340822860047531,0.0743,1.4254477810725457,1.3511477810725456,0.43,0.7332153386402581,0.3032153386402581
CD260301 (1),1.7427,1.5819194991078567,0.16078050089214324,1.0035,1.5676548466550135,0.5641548466550135,0.9944,1.5743017359276015,0.5799017359276015
CD260301 (1),1.6683,1.6667399072449127,0.0015600927550871724,0.8267,1.6667399072449127,0.8400399072449127,0.8411,1.6667399072449127,0.8256399072449128
CD260301 (1),3.6543,3.196483627829065,0.4578163721709352,3.6543,3.1898119338937696,0.4644880661062305,3.6543,3.024852067249537,0.629447932750463
CD260301 (1),1.4749,1.4744276696264347,0.0004723303735654216,0.928,1.4671864625648785,0.5391864625648785,0.9193,1.4351667209394456,0.5158667209394456
CD260301 (1),1.3599,1.3328497796174192,0.02705022038258087,1.3599,1.3125779680479452,0.047322031952054866,1.3599,1.1764172449436578,0.18348275505634226
CD260301 (1),2.4407,2.5848869623438167,0.14418696234381656,0.5467,2.5830122042812262,2.0363122042812263,0.9454,2.472731328014979,1.5273313280149792
CD260301 (1),1.855,1.8556602891374179,0.000660289137417891,0.312,1.8547810311762167,1.5427810311762167,0.3471,1.7664027776407667,1.4193027776407667
CD260301 (1),2.4007,2.3980790838500576,0.0026209161499424205,2.4007,2.39580565603981,0.00489434396018984,2.4007,1.2584904263053998,1.1422095736946003
CD260301 (1),2.37,2.3977152119920437,0.02771521199204363,2.1475,2.3962324562502393,0.24873245625023932,1.0864,2.2886914737723427,1.2022914737723427
CD260301 (1),1.9643,1.87237016586024,0.09192983413975986,0.32,1.8713314886885986,1.5513314886885985,0.663,1.769512512165446,1.106512512165446
CD260301 (1),2.0245,2.0050580150487973,0.019441984951202862,0.5654,2.0050580150487973,1.4396580150487974,0.4275,2.0050580150487973,1.5775580150487973
CD260301 (1),1.6971,1.6799867435932643,0.017113256406735777,1.5613,1.6799620253696301,0.11866202536963022,0.7868,0.8399816887356478,0.05318168873564777
CD260301 (1),1.4649,1.4265058205585832,0.038394179441416876,1.3198,1.4261349684902527,0.10633496849025259,0.8079,0.7130692931426111,0.09483070685738881
