video_id,track_id,num_frames,VCL,VSL,VAP
TA280380 (2)_SESSIOE 011225,69,5,0.614,0.5818,0.4416
TA280380 (2)_SESSIOE 011225,71,5,0.3987,0.2796,0.2364
TA280380 (2)_SESSIOE 011225,72,4,0.5707,0.1941,0.1873
TA280380 (2)_SESSIOE 011225,73,3,0.5967,0.5861,0.2936
TA280380 (3)_SESSIOE 011225,0,18,0.6574,0.3319,0.3205
TA280380 (3)_SESSIOE 011225,1,23,0.5563,0.442,0.4108
TA280380 (3)_SESSIOE 011225,2,23,0.6152,0.4506,0.4515
TA280380 (3)_SESSIOE 011225,3,10,0.5756,0.5583,0.4589
TA280380 (3)_SESSIOE 011225,4,23,0.5493,0.415,0.3844
TA280380 (3)_SESSIOE 011225,5,23,0.553,0.4641,0.4337
TA280380 (3)_SESSIOE 011225,8,3,0.9248,0.6943,0.3594
TA280380 (3)_SESSIOE 011225,9,23,0.489,0.3052,0.2963
TA280380 (3)_SESSIOE 011225,10,20,0.5293,0.281,0.3074
TA280380 (3)_SESSIOE 011225,11,16,0.6,0.5401,0.486
TA280380 (3)_SESSIOE 011225,13,23,0.589,0.3893,0.373
TA280380 (3)_SESSIOE 011225,16,23,0.5217,0.4351,0.4165
TA280380 (3)_SESSIOE 011225,17,23,0.5173,0.2401,0.251
TA280380 (3)_SESSIOE 011225,19,23,0.1848,0.0163,0.072
TA280380 (3)_SESSIOE 011225,21,12,1.2521,0.4421,0.5588
TA280380 (3)_SESSIOE 011225,23,3,0.3438,0.3197,0.1601
TA280380 (3)_SESSIOE 011225,24,21,0.4419,0.2702,0.2974
TA280380 (3)_SESSIOE 011225,27,20,0.4214,0.152,0.1844
TA280380 (3)_SESSIOE 011225,29,10,0.445,0.4297,0.3942
TA280380 (3)_SESSIOE 011225,30,19,0.3551,0.2227,0.2332
TA280380 (3)_SESSIOE 011225,31,18,0.5008,0.2675,0.3231
TA280380 (3)_SESSIOE 011225,34,4,0.2351,0.2127,0.1418
TA280380 (3)_SESSIOE 011225,35,6,0.4718,0.3975,0.355
TA280380 (3)_SESSIOE 011225,36,14,0.4636,0.3157,0.3149
